dp_id,dp_name,dp_model,dp_cost,dp_photoUrl,dp_itemCategoryId,dp_seoKeywords,dp_seoDescriptions
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx1,Переключатель к удлинителю с терминалом с выключателем,dp-11203,3.26,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/accessories/11202.png,1,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx2,Переключатель к удленителю с подсветкой,dp-11202,3.62,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/accessories/11202.png,1,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx3,Удлинитель английский 4/5м с заземлением с выключателем С АНГЛИЙСКОЙ ВИЛКОЙ,dp-41405-eng,54.38,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/british-system-series/41400.png,2,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx4,Удлинитель английский 4/5м с заземлением с выключателем,dp-41405,45.98,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/british-system-series/41400.png,2,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx5,Кабельные стяжки черные/белые,dp-48350,0.16,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/cable-trunking/80300.png,3,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx6,Кабельные стяжки черные/белые,dp-48300,0.16,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/cable-trunking/80300.png,3,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx7,Коробка под 36 автоматом- Орех,dp-91036-2,77.84,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/fuse-boxes/91036-2.png,4,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx8,Коробка под 36 автоматом- Бук,dp-91136-1,69.6,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/fuse-boxes/91036-1.png,4,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx9,Светильник круглый потолочный Ø 225 мах 26 watt (esl) (бук) (пластик),dp-95015-4-4,15.49,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/glop/95015-4-4.jpg,5,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx10,Светильник круглый потолочный Ø 225 мах 26 watt (esl) (темно-серый) (пластик),dp-95015-4-2,15.49,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/glop/95015-4-2.jpg,5,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx11,Разветлитель английский с подсветкой (с английской вилкой),dp-11118-uk,8.86,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/group-socket-and-plug/11118.png,6,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx12,Разветлитель английский с подсветкой (White),dp-11118,8.86,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/group-socket-and-plug/11118.png,6,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx13,Влагозащитный Проходной выключатель Вавиен,dp-82003,10,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/ip44-moisture-proof-series/82003.png,7,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx14,Влагозащитныв выключатель двойной,dp-82002,7.58,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/ip44-moisture-proof-series/82002.png,7,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx15,"Удлинитель 8/5 м c зазмлен. ""Жемчужина""",dp-980105,63.68,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/pearl-series/980100.png,8,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx16,"Удлинитель 8/3 м c зазмлен. ""Жемчужина""",dp-980103,50.96,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/pearl-series/980100.png,8,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx17,Светильник маленький наружный мах 26 watt (ESL) Е27 (непрозрач.)(серый) (пластик),dp-95035-3,17.68,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/plastic-lighting-fixtures/95035-3.png,9,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx18,Светильник маленький наружный мах 26 watt (ESL) Е27 (непрозрач.) (черный) (пластик),dp-95035-2,17.68,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/plastic-lighting-fixtures/95035-2.png,9,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx19,Гнездо с заземлением каучуковое трехфазное,dp-338014,12.48,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/rubber-series/338014.png,10,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx20,Каучуковая вилка трехфазная с заземлен.,dp-338013,9.98,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/rubber-series/338013.png,10,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx21,Удлинитель 6/2м.c заземлен.с выкл.-UPS,dp-961202,36.53,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/star-series/961100.png,11,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx22,Колодка 6 гнезд c заземлен. с выкл.-UPS,dp-961200,34.66,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/star-series/961100.png,11,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx23,Встраемая розетка с выключателем с заземлением,dp-81302,8.86,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/surfase-mounted-socket-series/81301.png,12,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx24,Розетка мебельная с заземлением,dp-81301,8.86,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/surfase-mounted-socket-series/81301.png,12,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx25,Светильник потолочный мален. прямоугол. влагозащищен. мах 26 watt (ESL) Е27 (прозрач.) (черный) (пластик),dp-95044-2,30.08,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/waterproof/95045-2.jpg,13,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx26,Светильник потолочный мален. прямоугол. влагозащищен. мах 26 watt (ESL) Е27 (непрозрач.) (серый) (пластик),dp-95045-1,30.08,https://ooodepa.github.io/ooodepa_imgs/products/de-pa-electric/waterproof/95044-1.jpg,13,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx27,ECO ВЫКЛЮЧАТЕЛЬ 1 КЛАВ. Белый со вставкой белого цвета,mono-101-010101-100,4.48,https://ooodepa.github.io/ooodepa_imgs/products/mono-electric/101-010201-100.png,14,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx28,ECO ВЫКЛЮЧАТЕЛЬ1 КЛАВ. С ПОДСВ. Белый со вставкой белого цвета,mono-101-010101-101,6.93,https://ooodepa.github.io/ooodepa_imgs/products/mono-electric/101-010201-100.png,14,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx29,DESPINA РОЗЕТКА 2-Я С/З БЕЛЫЙ,mono-102-190004-120,9.46,https://ooodepa.github.io/ooodepa_imgs/products/mono-electric/102-190004-120.jpg,15,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx30,DESPINA РОЗЕТКА 2-Я Б/З БЕЛЫЙ,mono-102-190005-121,8.3,https://ooodepa.github.io/ooodepa_imgs/products/mono-electric/102-190005-121.jpg,15,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx31,MONTE ВЫКЛЮЧАТЕЛЬ 1 КЛАВ. Белый со вставкой белого цвета,mono-105-010101-100,5.28,https://ooodepa.github.io/ooodepa_imgs/products/mono-electric/105-010201-100.jpg,16,-,-
axxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxx32,MONTE ВЫКЛЮЧАТЕЛЬ 1 КЛАВ. С ПОДСВ. Белый со вставкой белого цвета,mono-105-010101-101,8.13,https://ooodepa.github.io/ooodepa_imgs/products/mono-electric/105-010201-100.jpg,16,-,-
